Campaign_ID,Campaign_Name,Channel,Region,Start_Date,Budget_USD,Leads_Generated,Conversions,ROI_Percent,Status
CMP-00001,Summer Sale,SOCIAL MEDIA,West,17/08/2022,TBD,712,30,57.78,inactive
CMP-00002,N/A,Organic,West,04-05-2023,$925,3462.0,,,
CMP-00003,Summer Sale,,north,2022/05/08,5664 USD,2962,71,194.99,active
CMP-00004,,ppc,East,01-15-2023,$14230,4990.0,746.0,40.65,inactive
CMP-00005,Summer Sale,email,North,04-04-2024,26790.0,,N/A,N/A,Completed
CMP-00006,N/A,organic,NORTH,2024/02/04,38742.0,1133,773,256.94%,completed
CMP-00007,black friday,EMAIL,N/A,06-26-2023,36756,938.0,,,completed
CMP-00008,Holiday Special,organic,East,2023-06-04,TBD,,780.0,157.0,Active
CMP-00009,Summer Sale,Social Media,south,06-18-2024,16192 USD,N/A,835,293.18%,Completed
CMP-00010,New Year Promo,SOCIAL MEDIA,north,2024/06/12,14380.0,2553,,125.81,active
CMP-00011,Summer Sale,EMAIL,north,24/08/2022,971,1875,,11.97,N/A
CMP-00012,Summer  Sale,EMAIL,N/A,2022/09/06,$27177,N/A,478,198.74,Active
CMP-00013,Black Friday,email,West,2022/07/14,9686.00,3789,453.0,20.0,Active
CMP-00014,Back to School,PPC,,2023/05/13,14508,N/A,N/A,78.43,inactive
CMP-00015,Holiday Special,email,North,2023-08-17,49519,4785.0,161,287.84%,Inactive
CMP-00016,Back to School,Organic,South,07/08/2023,38440 USD,671.0,578.0,88.07,
CMP-00017,New Year Promo,SOCIAL MEDIA,N/A,2022-11-20,1110 USD,819.0,,31.06,active
CMP-00018,,organic,NORTH,2023-09-19,44269.00,848.0,270,265.81%,ACTIVE
CMP-00019,SUMMER SALE,email,NORTH,2023/06/02,16957,,45,,Completed
CMP-00020,black friday,organic,North,2022-04-25,TBD,295.0,565.0,,Active
CMP-00021,Back to School,Social Media,south,2024/03/09,41175.0,1331.0,N/A,,completed
CMP-00022,Black Friday,Organic,North,2024/05/29,N/A,2864.0,228,,Inactive
CMP-00023,N/A,Organic,north,2022-12-06,8059.00,,39,,completed
CMP-00024,Black Friday,Organic,East ,07-14-2022,3408,4259.0,703.0,102.91,
CMP-00025,Black Friday,SOCIAL MEDIA,north,2022/11/13,21876.00,N/A,N/A,200.0,Pending
CMP-00026,Summer Sale,SOCIAL MEDIA,NORTH,2022/08/04,38509,3809,218.0,136.69,Completed
CMP-00027,Summer  Sale,ppc,South,18/04/2024,44592.0,1207.0,486.0,N/A,Pending
CMP-00028,black friday,,,07/09/2022,$43495,3482,N/A,5.57,N/A
CMP-00029,N/A,organic,East ,2022/11/21,TBD,3495.0,456.0,,active
CMP-00030,N/A,,West,2022/10/09,5577.0,2225.0,82.0,36.76%,active
CMP-00031,SUMMER SALE,organic,N/A,2023-03-02,,4784,877.0,,ACTIVE
CMP-00032,black friday,organic,north,30/03/2024,,,N/A,214.5%,Pending
CMP-00033,black friday,EMAIL,East ,2023-11-10,"$6,001",,,N/A,ACTIVE
CMP-00034,Black Friday,,North,2024-02-07,$23435,329.0,204,N/A,Inactive
CMP-00035,,SOCIAL MEDIA,south,2022-06-21,$11232,,N/A,112.96,Pending
CMP-00036,Holiday Special,EMAIL,South,2024-03-26,23254,,N/A,,N/A
CMP-00037,N/A,SOCIAL MEDIA,East ,2024/04/07,30965 USD,2198.0,850,N/A,Pending
CMP-00038,SUMMER SALE,Email,N/A,05-21-2024,12417,2116.0,,162.3%,Inactive
CMP-00039,,organic,West,2023/12/09,N/A,141.0,414.0,N/A,inactive
CMP-00040,N/A,ppc,south,2023/12/21,18254.0,,122.0,284.77%,active
CMP-00041,Summer  Sale,organic,East ,2022-10-17,13221,1469,546.0,75.0,ACTIVE
